Kingdom,Phylum,Class,Order,Family,Genus,Species,num_hits,%_hits
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,fujiensis,207,0.004
Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga,,206,0.004
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,,,206,0.004
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,maculosa,205,0.004
Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema,,201,0.004
Bacteria,Firmicutes,Clostridia,Clostridiales,Heliobacteriaceae,Heliorestis,,199,0.004
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,marinus,199,0.004
Bacteria,Firmicutes,Clostridia,Coriobacteriales,Coriobacteriaceae,Slackia,,199,0.004
Bacteria,Proteobacteria,Betaproteobacteria,Hydrogenophilales,Hydrogenophilaceae,Thiobacillus,,198,0.004
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfonatronumaceae,Desulfonatronum,thiosulfatophilum,198,0.004
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Tsukamurellaceae,Tsukamurella,,196,0.004
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,,194,0.004
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium,album,193,0.004
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Tetrasphaera,vanveenii,192,0.004
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Dechloromonas,hortensis,192,0.004
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,,,191,0.004
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Selenomonas,dianae,190,0.004
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Gallibacterium,melopsittaci,187,0.004
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,caenicola,187,0.004
Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,,,,185,0.004
Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,,184,0.004
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Stenoxybacter,,180,0.004
Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Brochothrix,thermosphacta,180,0.004
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,,180,0.004
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Pelotomaculum,isophthalicicum,180,0.004
Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,fermentans,179,0.004
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Maricaulis,indicus,174,0.004
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira,eae,174,0.004
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,,173,0.004
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,,,170,0.003
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,eae,170,0.003
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Knoellia,aerolata,169,0.003
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Thiomonas,thermosulfata,169,0.003
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus,penneri,168,0.003
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,algicola,166,0.003
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Flexibacteraceae,Runella,limosa,164,0.003
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,damuensis,163,0.003
Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Alkalibacterium,,162,0.003
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,,,162,0.003
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Saccharopolyspora,,161,0.003
Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Rhabdochlamydiaceae,Candidatus Rhabdochlamydia,crassificans,159,0.003
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,157,0.003
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium,,156,0.003
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,daejeonensis,155,0.003
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonas,,152,0.003
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys,,152,0.003
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,insulaenigrae,151,0.003
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,ochracea,151,0.003
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,,,151,0.003
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,percolatus,149,0.003
Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Chroococcaceae,Chroococcus,minutus,147,0.003
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Polynucleobacter,,142,0.003
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,stercorirosoris,141,0.003
Viruses,DNA,Group II,,Microviridae,Microvirus,Enterobacteria phage PhiX174,141,0.003
Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Chondromyces,pediculatus,140,0.003
Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Leucothrix,mucor,140,0.003
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,ubonensis,140,0.003
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,,,,140,0.003
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,antiviralis,139,0.003
Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Petrotoga,,138,0.003
Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,,,,138,0.003
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,138,0.003
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Caloramator,uzoniensis,137,0.003
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Chelonobacter,oris,136,0.003
Bacteria,Chloroflexi,Ktedonobacteria,Thermogemmatisporales,Thermogemmatisporaceae,Thermogemmatispora,,135,0.003
Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema,refringens,134,0.003
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,133,0.003
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Moorella,,132,0.003
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Paucibacter,,132,0.003
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermovenabulum,Thermovenabulum,ferriorganovorum,132,0.003
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Viridibacillus,neidei,131,0.003
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Candidatus Liberibacter,,130,0.003
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Filifactor,alocis,129,0.003
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Kribbella,,128,0.003
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Johnsonella,,127,0.003
Bacteria,Proteobacteria,Betaproteobacteria,Hydrogenophilales,Hydrogenophilaceae,Thiobacillus,sajanensis,127,0.003
Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,innocua,127,0.003
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,clemancea,126,0.003
Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,,,125,0.003
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,bernardiae,125,0.003
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria,,123,0.003
Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Desulfobacteraceae,Desulfofrigus,oceanense,122,0.003
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides,odoratus,121,0.002
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,salsiraiae,121,0.002
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,,121,0.002
Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,inopinata,119,0.002
Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,,118,0.002
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,donghaensis,116,0.002
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,anaerobius,116,0.002
Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas,sapovorans,115,0.002
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,dentirousetti,115,0.002
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Microbulbifer,,115,0.002
Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema,socranskii,114,0.002
Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydophila,caviae,114,0.002
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,georgiae,113,0.002
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,rottae,113,0.002
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Candidatus Glomeribacter,,113,0.002
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,hansenii,113,0.002
Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema,porcinum,111,0.002
Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Desulfobacteraceae,,,111,0.002
Bacteria,Synergistetes,Synergistia,Synergistales,Dethiosulfovibrionaceae,Dethiosulfovibrio,,109,0.002
